Rank,Team,Mu,Sigma,Conservative Score,OPR,DPR,CCVM,Win Percentage
366,5735H,35.14,1.95,29.28,15.95,-0.81,16.76,76.52
367,42824A,33.81,1.51,29.28,18.78,-0.04,18.82,68.42
368,98548C,33.25,1.33,29.27,17.18,2.49,14.69,66.55
369,2626A,33.46,1.4,29.27,15.46,-0.61,16.07,76.09
370,2602K,35.04,1.92,29.27,13.42,0.22,13.19,77.21
371,2567F,33.37,1.37,29.27,14.37,-0.04,14.41,64.73
372,70699A,34.89,1.87,29.27,9.81,-3.4,13.21,71.53
373,17711E,34.24,1.66,29.26,14.13,-1.23,15.36,75.0
374,9568V,33.92,1.55,29.26,18.51,-1.42,19.93,69.02
375,750B,34.47,1.73,29.26,18.06,0.73,17.32,72.22
376,295Y,35.0,1.91,29.26,18.79,-0.05,18.84,76.87
377,98548D,33.25,1.34,29.24,17.04,-0.11,17.16,63.57
378,13460B,35.79,2.19,29.23,9.64,-1.54,11.18,75.44
379,15155E,34.67,1.82,29.22,12.32,0.02,12.31,75.3
380,2501S,33.93,1.57,29.22,15.83,1.34,14.49,72.16
381,45000B,36.42,2.4,29.21,19.75,1.16,18.59,80.43
382,13697H,33.32,1.37,29.2,14.61,0.45,14.16,69.23
383,8568C,33.53,1.44,29.2,16.12,1.01,15.11,64.85
384,70291B,35.23,2.01,29.19,12.54,-0.2,12.75,79.17
385,3145H,33.44,1.42,29.18,12.3,1.48,10.83,65.0
386,6293X,34.2,1.67,29.18,16.09,1.53,14.56,72.5
387,7862H,34.73,1.85,29.17,13.71,0.25,13.45,75.64
388,321D,34.07,1.64,29.16,14.08,0.36,13.72,77.01
389,33007X,34.46,1.77,29.16,14.01,-1.48,15.49,74.26
390,2011C,33.27,1.38,29.13,13.29,-0.14,13.43,67.98
391,4154R,34.33,1.74,29.11,16.9,2.14,14.76,75.61
392,6627X,33.88,1.59,29.11,18.17,1.6,16.58,69.89
393,5069G,33.42,1.44,29.1,14.98,1.07,13.91,67.31
394,41998J,34.45,1.79,29.08,13.96,-2.14,16.1,73.12
395,35016Z,33.57,1.5,29.08,14.04,0.03,14.01,66.81
396,1064B,33.21,1.38,29.08,15.83,-0.46,16.29,70.97
397,9909B,33.37,1.43,29.08,14.15,2.52,11.62,71.6
398,252C,33.32,1.42,29.07,17.11,-3.01,20.11,61.22
399,40684D,34.55,1.83,29.05,16.31,-0.42,16.73,69.67
400,11753A,34.29,1.75,29.05,15.37,-0.2,15.57,74.34
401,1079X,37.01,2.65,29.05,16.83,2.24,14.59,84.62
